overgrow	しんりょく	Strengthens Grass moves to inflict 1.5× damage at 1/3 max HP or less.
chlorophyll	ようりょくそ	Doubles Speed during strong sunlight.
blaze	もうか	Strengthens Fire moves to inflict 1.5× damage at 1/3 max HP or less.
solar-power	サンパワー	Increases Special Attack to 1.5× but costs 1/8 max HP after each turn during strong sunlight.
torrent	げきりゅう	Strengthens Water moves to inflict 1.5× damage at 1/3 max HP or less.
rain-dish	あめうけざら	Heals for 1/16 max HP after each turn during rain.
swarm	むしのしらせ	Strengthens Bug moves to inflict 1.5× damage at 1/3 max HP or less.
sniper	スナイパー	Strengthens critical hits to inflict 3× damage rather than 2×.
keen-eye	するどいめ	Prevents accuracy from being lowered.
tangled-feet	ちどりあし	Doubles evasion when confused.
big-pecks	はとむね	Protects against Defense drops.
intimidate	いかく	Lowers opponents' Attack one stage upon entering battle.
shed-skin	だっぴ	Has a 33% chance of curing any major status ailment after each turn.
unnerve	きんちょうかん	Prevents opposing Pokémon from eating held Berries.
static	せいでんき	Has a 30% chance of paralyzing attacking Pokémon on contact.
lightning-rod	ひらいしん	Redirects single-target Electric moves to this Pokémon where possible. Absorbs Electric moves, raising Special Attack one stage.
surge-surfer	サーフテール	Doubles this Pokémon's Speed on Electric Terrain.
cute-charm	メロメロボディ	Has a 30% chance of infatuating attacking Pokémon on contact.
magic-guard	マジックガード	Protects against damage not directly caused by a move.
unaware	てんねん	Ignores other Pokémon's stat modifiers for damage and accuracy calculation.
flash-fire	もらいび	Protects against Fire moves. Once one has been blocked, the Pokémon's own Fire moves inflict 1.5× damage until it leaves battle.
drought	ひでり	Summons strong sunlight that lasts indefinitely upon entering battle.
snow-cloak	ゆきがくれ	Increases evasion to 1.25× during hail. Protects against hail damage.
snow-warning	ゆきふらし	Summons hail that lasts indefinitely upon entering battle.
competitive	かちき	Raises Special Attack by two stages upon having any stat lowered.
frisk	おみとおし	Reveals an opponent's held item upon entering battle.
effect-spore	ほうし	Has a 30% chance of inflcting either paralysis, poison, or sleep on attacking Pokémon on contact.
limber	じゅうなん	Prevents paralysis.
technician	テクニシャン	Strengthens moves of 60 base power or less to 1.5× their power.
fur-coat	ファーコート	Halves damage from physical attacks.
rattled	びびり	Raises Speed one stage upon being hit by a Dark, Ghost, or Bug move.
justified	せいぎのこころ	Raises Attack one stage upon taking damage from a Dark move.
rock-head	いしあたま	Protects against recoil damage.
synchronize	シンクロ	Copies burns, paralysis, and poison received onto the Pokémon that inflicted them.
inner-focus	せいしんりょく	Prevents flinching.
guts	こんじょう	Increases Attack to 1.5× with a major status ailment.
no-guard	ノーガード	Ensures all moves used by and against the Pokémon hit.
steadfast	ふくつのこころ	Raises Speed one stage upon flinching.
gluttony	くいしんぼう	Makes the Pokémon eat any held Berry triggered by low HP below 1/2 its max HP.
oblivious	どんかん	Prevents infatuation and protects against Captivate.
own-tempo	マイペース	Prevents confusion.
regenerator	さいせいりょく	Heals for 1/3 max HP upon switching out.
quick-draw	クイックドロウ	Enables the Pokémon to move first occasionally.
defiant	まけんき	Raises Attack two stages upon having any stat lowered.
cursed-body	のろわれボディ	Has a 30% chance of Disabling any move that hits the Pokémon.
early-bird	はやおき	Makes sleep pass twice as quickly.
scrappy	きもったま	Lets the Pokémon's Normal and Fighting moves hit Ghost Pokémon.
illuminate	はっこう	Doubles the wild encounter rate.
natural-cure	しぜんかいふく	Cures any major status ailment upon switching out.
analytic	アナライズ	Strengthens moves to 1.3× their power when moving last.
soundproof	ぼうおん	Protects against sound-based moves.
filter	フィルター	Decreases damage taken from super-effective moves by 1/4.
hyper-cutter	かいりきバサミ	Prevents Attack from being lowered by other Pokémon.
mold-breaker	かたやぶり	Bypasses targets' abilities if they could hinder or prevent a move.
moxie	じしんかじょう	Raises Attack one stage upon KOing a Pokémon.
anger-point	いかりのつぼ	Raises Attack to the maximum of six stages upon receiving a critical hit.
sheer-force	ちからずく	Strengthens moves with extra effects to 1.3× their power, but prevents their extra effects.
cud-chew	はんすう	Causes the Pokémon to reuse an already consumed Berry at the end of the next turn.
imposter	かわりもの	Transforms upon entering battle.
water-absorb	ちょすい	Absorbs Water moves, healing for 1/4 max HP.
hydration	うるおいボディ	Cures any major status ailment after each turn during rain.
volt-absorb	ちくでん	Absorbs Electric moves, healing for 1/4 max HP.
quick-feet	はやあし	Increases Speed to 1.5× with a major status ailment.
pressure	プレッシャー	Increases the PP cost of moves targetting the Pokémon by one.
immunity	めんえき	Prevents poison.
thick-fat	あついしぼう	Halves damage from Fire and Ice moves.
multiscale	マルチスケイル	Halves damage taken from full HP.
leaf-guard	リーフガード	Protects against major status ailments during strong sunlight.
insomnia	ふみん	Prevents sleep.
plus	プラス	Increases Special Attack to 1.5× when a friendly Pokémon has Plus or Minus.
huge-power	ちからもち	Doubles Attack in battle.
sap-sipper	そうしょく	Absorbs Grass moves, raising Attack one stage.
damp	しめりけ	Prevents Self-Destruct, Explosion, and Aftermath from working while the Pokémon is in battle.
drizzle	あめふらし	Summons rain that lasts indefinitely upon entering battle.
magic-bounce	マジックミラー	Reflects most non-damaging moves back at their user.
curious-medicine	きみょうなくすり	Resets all stat changes upon entering battlefield.
sturdy	がんじょう	Prevents being KOed from full HP, leaving 1 HP instead. Protects against the one-hit KO moves regardless of HP.
overcoat	ぼうじん	Protects against damage from weather.
poison-point	どくのトゲ	Has a 30% chance of poisoning attacking Pokémon on contact.
swift-swim	すいすい	Doubles Speed during rain.
light-metal	ライトメタル	Halves the Pokémon's weight.
weak-armor	くだけるよろい	Raises Speed and lowers Defense by one stage each upon being hit by a physical move.
sand-stream	すなおこし	Summons a sandstorm that lasts indefinitely upon entering battle.
unburden	かるわざ	Doubles Speed upon using or losing a held item.
speed-boost	かそく	Raises Speed one stage after each turn.
trace	トレース	Copies an opponent's ability upon entering battle.
telepathy	テレパシー	Protects against friendly Pokémon's damaging moves.
stall	あとだし	Makes the Pokémon move last within its move's priority bracket.
prankster	いたずらごころ	Raises non-damaging moves' priority by one stage.
heavy-metal	ヘヴィメタル	Doubles the Pokémon's weight.
pure-power	ヨガパワー	Doubles Attack in battle.
minus	マイナス	Increases Special Attack to 1.5× when a friendly Pokémon has Plus or Minus.
liquid-ooze	ヘドロえき	Damages opponents using leeching moves for as much as they would heal.
sticky-hold	ねんちゃく	Prevents a held item from being removed by other Pokémon.
rough-skin	さめはだ	Damages attacking Pokémon for 1/8 their max HP on contact.
magma-armor	マグマのよろい	Prevents freezing.
solid-rock	ハードロック	Decreases damage taken from super-effective moves by 1/4.
white-smoke	しろいけむり	Prevents stats from being lowered by other Pokémon.
shell-armor	シェルアーマー	Protects against critical hits.
cloud-nine	ノーてんき	Negates all effects of weather, but does not prevent the weather itself.
marvel-scale	ふしぎなうろこ	Increases Defense to 1.5× with a major status ailment.
forecast	てんきや	Changes Castform's type and form to match the weather.
levitate	ふゆう	Evades Ground moves.
super-luck	きょううん	Raises moves' critical hit rates one stage.
ice-body	アイスボディ	Heals for 1/16 max HP after each turn during hail. Protects against hail damage.
moody	ムラっけ	Raises a random stat two stages and lowers another one stage after each turn.
clear-body	クリアボディ	Prevents stats from being lowered by other Pokémon.
iron-fist	てつのこぶし	Strengthens punch-based moves to 1.2× their power.
reckless	すてみ	Strengthens recoil moves to 1.2× their power.
rivalry	とうそうしん	Increases damage inflicted to 1.25× against Pokémon of the same gender, but decreases damage to 0.75× against the opposite gender.
klutz	ぶきよう	Prevents the Pokémon from using its held item in battle.
infiltrator	すりぬけ	Bypasses Light Screen, Reflect, and Safeguard.
sand-veil	すながくれ	Increases evasion to 1.25× during a sandstorm. Protects against sandstorm damage.
sand-force	すなのちから	Strengthens Rock, Ground, and Steel moves to 1.3× their power during a sandstorm. Protects against sandstorm damage.
anticipation	きけんよち	Notifies all trainers upon entering battle if an opponent has a super-effective move, Self-Destruct, Explosion, or a one-hit KO move.
dry-skin	かんそうはだ	Causes 1/8 max HP in damage each turn during strong sunlight, but heals for 1/8 max HP during rain. Increases damage from Fire moves to 1.25×, but absorbs Water moves, healing for 1/4 max HP.
poison-touch	どくしゅ	Has a 30% chance of poisoning target Pokémon upon contact.
pickpocket	わるいてぐせ	Steals attacking Pokémon's held items on contact.
poison-heal	ポイズンヒール	Heals for 1/8 max HP after each turn when poisoned in place of damage.
sharpness	きれあじ	Powers up slicing moves.
contrary	あまのじゃく	Inverts stat changes.
forewarn	よちむ	Reveals the opponents' strongest move upon entering battle.
sand-rush	すなかき	Doubles Speed during a sandstorm. Protects against sandstorm damage.
healer	いやしのこころ	Has a 30% chance of curing each adjacent ally of any major status ailment after each turn.
mummy	ミイラ	Changes attacking Pokémon's abilities to Mummy on contact.
stench	あくしゅう	Has a 10% chance of making target Pokémon flinch with each hit.
aftermath	ゆうばく	Damages the attacker for 1/4 its max HP when knocked out by a contact move.
illusion	イリュージョン	Takes the appearance of the last conscious party Pokémon upon being sent out until hit by a damaging move.
motor-drive	でんきエンジン	Absorbs Electric moves, raising Speed one stage.
flame-body	ほのおのからだ	Has a 30% chance of burning attacking Pokémon on contact.
slush-rush	ゆきかき	During Hail, this Pokémon has double Speed.
mimicry	ぎたい	Changes type depending on the terrain.
bulletproof	ぼうだん	Protects against bullet, ball, and bomb-based moves.
magician	マジシャン	Steals the target's held item when the bearer uses a damaging move.
protean	へんげんじざい	Changes the bearer's type to match each move it uses.
pickup	ものひろい	Picks up other Pokémon's used and Flung held items. May also pick up an item after battle.
cheek-pouch	ほおぶくろ	Restores HP upon eating a Berry, in addition to the Berry's effect.
gale-wings	はやてのつばさ	Raises Flying moves' priority by one stage.
shield-dust	りんぷん	Protects against incoming moves' extra effects.
compound-eyes	ふくがん	Increases moves' accuracy to 1.3×.
friend-guard	フレンドガード	Decreases all direct damage taken by friendly Pokémon to 0.75×.
flower-veil	フラワーベール	Protects friendly Grass Pokémon from having their stats lowered by other Pokémon.
symbiosis	きょうせい	Passes the bearer's held item to an ally when the ally uses up its item.
grass-pelt	くさのけがわ	Boosts Defense while Grassy Terrain is in effect.
stance-change	バトルスイッチ	Changes Aegislash to Blade Forme before using a damaging move, or Shield Forme before using King’s Shield.
aroma-veil	アロマベール	Protects allies against moves that affect their mental state.
sweet-veil	スイートベール	Prevents friendly Pokémon from sleeping.
suction-cups	きゅうばん	Prevents being forced out of battle by other Pokémon's moves.
tough-claws	かたいツメ	Strengthens moves that make contact to 1.33× their power.
adaptability	てきおうりょく	Increases the same-type attack bonus from 1.5× to 2×.
mega-launcher	メガランチャー	Strengthens aura and pulse moves to 1.5× their power.
strong-jaw	がんじょうあご	Strengthens biting moves to 1.5× their power.
refrigerate	フリーズスキン	Turns the bearer's Normal moves into Ice moves and strengthens them to 1.3× their power.
pixilate	フェアリースキン	Turns the bearer's Normal moves into Fairy moves and strengthens them to 1.3× their power.
gooey	ぬめぬめ	Lowers attacking Pokémon's Speed by one stage on contact.
harvest	しゅうかく	Has a 50% chance of restoring a used Berry after each turn if the Pokémon has held no items in the meantime.
long-reach	えんかく	This Pokémon's moves do not make contact.
liquid-voice	うるおいボイス	Sound-based moves become Water-type.
skill-link	スキルリンク	Extends two-to-five-hit moves and Triple Kick to their full length every time.
merciless	ひとでなし	This Pokémon's moves critical hit against poisoned targets.
stamina	じきゅうりょく	Raises this Pokémon's Defense by one stage when it takes damage from a move.
water-bubble	すいほう	Halves damage from Fire moves, doubles damage of Water moves, and prevents burns.
corrosion	ふしょく	This Pokémon can inflict poison on Poison and Steel Pokémon.
